Export;EXP-2023-01 (20230707 10:27);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
NO2;uur;µg/m³;20100412 08:00;20100412 09:00;53.8;52.2;41.8;32.2;;15.1;;29.8;49.7;;;22.96;13.02;24.56;55.71;36.18;16.52;;17.72;25.11;36.65;19.07;23.03;37.21;26.94;42.07;17.99;31.9;23.66;30.9;39.06;18.82;21.89;;10.22;57.94;27.92;12.82;43.37;4.3;;28.29;17.94;11.63;20.5;8.01;10.41;17.3;28.22;6.65;13.15;11.67;53.37;;13.42;;4.93;8.43;6.67;35.72;8.54;32;11;99;26;27;49;20;28;13;18;19;12;;22;;17;13;11
NO2;uur;µg/m³;20100412 09:00;20100412 10:00;36.8;36.4;30;23.5;19.6;12.8;;21.9;34;;;21.89;12.69;19.34;51.53;33.7;15.36;;15.99;24.08;27.78;15.71;19.13;36.09;21.24;40.78;19.54;22.58;25.42;23.19;23.36;13.08;18.27;;7.89;40.4;18.25;9.53;40.67;4.62;;21.89;13.28;10.85;15.22;6.23;11.4;11.27;23.92;4.58;12.22;9.08;40.57;;14.09;;2.73;8.06;8.31;32.63;5.26;30;9;88;21;25;36;19;;11;11;15;9;22;14;;11;10;8
NO2;uur;µg/m³;20100412 10:00;20100412 11:00;27.5;28.5;21.3;20;16.2;10.1;;18.8;25.5;;;19.71;12.12;19.73;48.54;29.85;15.26;;13.89;24.08;32.83;11.64;15.67;30.14;16.93;27.68;11.97;20.98;16.71;20.52;18.47;9.03;16.4;;5.27;40.18;15.49;8.08;48.01;5.44;;19.48;11.49;7.34;11.5;5;9.65;9.2;15.56;0.6;10.9;7.16;;;13.53;;1.63;4.28;7.64;26.04;5.53;31;7;94;24;;35;20;;10;10;20;9;21;15;;10;12;8
NO2;uur;µg/m³;20100412 11:00;20100412 12:00;26;24.3;20.8;17.5;15.3;10.2;;19.4;24.2;;9.8;20.13;10.71;20.91;54.36;34.21;14.88;;10.57;20;22.55;8.81;13.52;22.7;11.67;15.22;8.61;14.16;14.56;21.16;18.29;8.78;12.36;;4.3;29.94;16.26;6.38;48.97;4.51;;17.61;10.58;7.1;8.55;2.84;6.28;10.58;17.04;-1.36;10.54;8.09;;;11.46;;2.57;3.99;7.38;26.56;6.34;28;7;77;21;17;31;13;17;7;9;18;8;22;11;;9;8;6
NO2;uur;µg/m³;20100412 12:00;20100412 13:00;26.4;26.7;21.1;18.3;14.9;;;16.9;25.8;;10;20.96;8.47;19.71;54.65;31.87;12.99;;9.31;20.9;21.62;10.38;14.04;19.64;11.25;19.67;7.11;9.66;11.51;19.51;19.6;7.9;13.11;;4.21;29.68;13.02;6.07;45.6;6.98;;25.86;11.03;6.05;8.08;2.57;6.04;9.27;15.98;-3.3;10.25;8.3;;;10.82;;2.5;5.52;5.31;32.57;6.95;24;;;19;15;24;13;16;8;8;18;8;16;;;9;;
NO2;uur;µg/m³;20100412 13:00;20100412 14:00;25.2;28.2;23;19.2;15.5;;;19.5;24.9;;8.6;19.4;8.11;18.06;48.3;28.6;10.95;;8.78;24.22;25.35;9.23;12.97;18.38;10.34;17.76;13.5;10.3;11.76;19.76;20.3;8.22;14.76;;5.32;33.66;17.66;6.18;49.7;6.04;;24.37;11.43;6.09;7.6;2.34;8.9;8.17;22.2;-3.05;9.18;9.71;;;11.3;;2.73;6.8;6.87;29.96;5.66;25;9;88;21;15;34;14;18;8;9;20;9;18;13;;8;10;7
NO2;uur;µg/m³;20100412 14:00;20100412 15:00;28;26.6;19.3;23.2;15.1;8.1;;20.4;29.4;;11.7;18.55;7.79;17.76;41.95;23.69;11.57;;8.78;21.11;28.42;8.86;13.95;17.35;10.11;20;9.48;13.06;12.73;19.95;23.3;9.15;15.5;;4.77;28.65;17.47;7.3;60.68;4.86;;23.11;13.56;7.31;7.7;2.26;7.07;8.94;19.58;-1.34;7.37;10.97;;;11.82;;1.9;7.46;7.94;29.1;7.26;24;8;86;23;16;31;16;16;9;10;32;11;18;11;;8;8;8
NO2;uur;µg/m³;20100412 15:00;20100412 16:00;28.2;32;24.7;22.7;16.6;7.9;;22.5;30.7;;9;20.51;7.86;13.29;39.98;19.79;11.04;;8.29;23.66;32.66;9.41;19.09;17.75;10.57;24.02;16.83;11.75;12.45;18.22;20.61;9.84;13.94;;5.22;31.78;18.9;5.22;56.9;3.24;;15.56;11.35;7.05;9.81;2.68;7.1;10.59;21.65;-1.5;7.5;14.36;;;12.24;;3.03;7.78;7.42;24.63;7.91;38;8;102;20;15;34;18;17;7;10;38;11;21;12;;9;9;8
NO2;uur;µg/m³;20100412 16:00;20100412 17:00;21.6;33.3;23.7;22;13.7;9.6;;20.9;26.5;;10.1;21.64;7.61;15.18;47.35;25.97;10.61;;16.32;26.28;26.98;12.03;17.45;17.62;10.62;20.16;20.25;10.06;14.72;16.76;19.39;10.43;15.37;;5.41;29.93;18.04;4.35;59.95;3.34;;12.81;12.19;7.22;9.14;3.9;6.46;11.84;21.93;-2.26;9.16;11.53;;;12.23;;4.62;10.17;9.03;32.51;10.14;25;8;89;19;13;33;16;20;6;10;29;9;20;12;;9;14;7
NO2;uur;µg/m³;20100412 17:00;20100412 18:00;24.4;30.6;25.8;20.8;15.7;9.8;;23;25.7;;19.2;23.19;9.11;16.9;38.34;27.1;12.37;;17.8;24.84;30.55;11.03;16.77;18.53;11.25;19.62;22;12.08;14.99;15.99;18.15;10.94;15.41;;4.53;31.42;19.34;4.96;73.76;4.45;;14.08;13.97;9.49;9.57;5.48;8.53;14.51;27.12;-0.4;9.16;10.95;;;11.87;;4.97;7.36;9.99;25.1;7.25;28;9;69;19;16;38;22;20;9;12;45;8;22;14;;9;14;7
NO2;uur;µg/m³;20100412 18:00;20100412 19:00;25.1;30.5;23.7;22.6;16.9;11.8;;25.9;26.5;;32.6;20.94;10.16;20.36;43.51;27.33;12.46;;18.24;31.98;26.64;13.38;18.24;20.98;13.3;18.33;31.15;16.39;14.18;18.92;21.85;13.18;17.94;;6.02;34.29;24.23;5.76;47.36;5.59;;19.35;17.16;13.04;13.99;6.58;11.38;18.63;29.87;2.23;11.53;11.29;;;12.55;;6.7;10.26;8.82;31.05;8.66;35;11;62;24;18;40;25;23;11;17;37;8;23;18;;11;17;9
NO2;uur;µg/m³;20100412 19:00;20100412 20:00;31.8;39.7;45.7;23.5;18.4;15.9;;38.5;30.7;;14.1;25.66;24.7;17.17;35.85;27.81;16.53;;21.1;35.4;38;21.61;19.69;22.43;21.08;23.11;36.99;16.35;15;22.19;30.75;15.3;18.57;;6.63;30.28;36.79;5.55;34.86;8.44;;21.43;16.93;13.89;18.23;7.64;12.15;17.72;35.31;2.88;12.77;12.88;;;15.23;;6.58;11.15;12.43;39.04;18.35;31;12;66;28;21;41;31;26;11;21;55;9;26;19;;10;17;10
NO2;uur;µg/m³;20100412 20:00;20100412 21:00;36.9;42;48.4;27.5;20.4;15;;30.7;30.4;;15.4;32.07;24.09;22.11;44.65;33.65;21.99;;22.71;37.93;31.54;25.87;18.35;20.71;24.67;20.53;30.96;16.48;14.21;24.96;31;13.79;18.52;;8.26;23.62;29.03;7.17;27.04;9.2;;19.85;14.96;12.89;20.48;6.5;11.92;26.2;32.79;3.31;15.17;16.42;;;14.09;;9.26;10.26;14.5;34.86;17.03;31;12;68;32;23;39;31;28;11;19;54;11;28;26;;11;16;12
NO2;uur;µg/m³;20100412 21:00;20100412 22:00;34.2;45.7;41.3;24.5;22.3;12.2;;32.9;32.8;;20.8;36.2;15.11;27.58;49.19;32.45;24.46;;19.71;28.95;26.83;23.31;17.39;17.79;21.17;26.88;32.74;16.91;15.68;23.06;26.35;12.05;15.7;;7.76;24.27;30.48;5.8;23.93;9.1;;19.59;14.26;11.01;21.58;6.24;10.83;18.47;21.69;2.9;14.46;14.95;;;13.69;;8.94;11.02;11.66;31.32;18.39;23;12;73;22;20;32;32;22;9;22;55;12;24;30;;11;15;11
NO2;uur;µg/m³;20100412 22:00;20100412 23:00;31.6;43.7;37.7;19.5;17.3;11.6;;32.3;37.3;;18.1;27.02;14.11;28.74;40.56;30.53;17.47;;17.94;22.22;24.24;23.02;16.27;18.03;20.52;23.38;22.84;16.73;24.57;21.06;21.68;12.36;14.27;;8.9;25.24;30.01;6.21;22.42;6.7;;14.19;11.91;8.95;14.95;5.82;9.27;12.8;16.26;5.45;14.95;12.66;;;14.3;;6.9;12.99;13.34;24.04;16.35;27;13;64;30;23;39;35;25;8;27;56;11;24;29;;10;24;12
NO2;uur;µg/m³;20100412 23:00;20100413 00:00;29.9;44.8;32.3;17.3;;11;;23.6;26.7;;15.2;23.06;13.34;28.44;37.18;27.68;13.38;;17.13;14.89;18.17;17.15;14.93;15.73;16.67;18.09;22.48;13.69;23.67;18.42;18.34;10.61;12.51;;7.68;22.45;21.39;5.46;17.04;6.08;;10.94;9.88;7.83;15.27;5.94;8.2;10.8;17.21;2.2;14.79;12.28;;;14.99;;4.47;12.56;10;18.85;10.89;24;12;49;22;21;26;29;19;9;19;24;10;23;23;;9;27;12
NO2;uur;µg/m³;20100413 00:00;20100413 01:00;28.9;34.2;25.4;14.7;;10.3;;22.1;24.2;;15.5;17.01;12.81;17.43;31.09;24.12;12.87;;11.81;12.79;14.78;12.74;14.04;18.98;14.28;16.21;15.66;16.34;16.22;19.63;;11.11;11.03;;;18.2;20.2;7.43;12.7;5.27;19.97;11.01;10.05;9.61;10.99;;7.4;9.23;11.27;11.99;13.74;8.23;;;14.35;;5.85;12.64;8.91;18.9;6.87;16;11;54;18;21;26;29;16;10;19;17;10;21;20;;8;29;12
NO2;uur;µg/m³;20100413 01:00;20100413 02:00;25.7;35.3;27.7;14.9;;9.4;;22.1;21.8;;21.6;20.86;15.46;14.34;25.15;20.23;13.55;;14.94;13.37;17.96;12.17;13.39;17.3;16.25;17.93;16.55;15.27;14.71;17.66;14.89;10.68;11.34;;7.07;14.44;19.36;7.96;13.22;5.81;20.11;10.29;11.14;8.54;14.15;7.57;7.26;9.4;10.77;10.64;13.84;7.83;;;14.62;;6.02;12.16;10.41;13.25;5.47;14;11;58;16;23;19;23;13;10;21;18;9;22;25;;6;36;11
NO2;uur;µg/m³;20100413 02:00;20100413 03:00;30.3;34.9;25.4;19.2;;10.2;;21.6;26.5;;18.8;22.08;14.71;13.46;24.28;22.4;13.52;;12.59;12.41;15.25;10.49;13.66;18.11;14.18;14.09;16.34;15.66;43.95;15.99;17.52;11.29;14.51;;6.88;15.5;19.23;9.51;13.79;6.47;19.73;12.54;10.56;8.14;15.35;7.36;6.99;10.17;10.97;11.29;12.89;7.93;;;14.94;;5.74;14.4;8.06;16.36;6.07;22;9;61;20;24;19;32;26;9;21;25;9;21;29;;6;20;10
NO2;uur;µg/m³;20100413 03:00;20100413 04:00;44.9;30.8;27.6;19.9;;9.5;;20.9;36.7;;13.5;20.08;10.77;15.29;27.36;19.55;15.52;;9.82;10.84;13.4;10.77;17.32;19.2;13.13;15.06;13.46;16.4;28.58;16.43;22.74;11.79;15.68;;5.93;15.51;19.15;9.91;16.99;6.69;16.54;11.21;9.7;8.12;14.31;7.02;7.25;11.65;12.96;15.46;12.89;9.49;;;15.1;;7.53;12.66;5.26;24.81;15.65;39;10;46;29;27;27;37;47;8;21;26;8;25;24;;6;19;10
NO2;uur;µg/m³;20100413 04:00;20100413 05:00;41.9;52.1;40.6;26.5;;10.1;;39.4;50.6;;14.7;24.56;11.8;15.17;42.94;22.77;15.01;;9.8;14.93;15.1;13.47;22.73;23.01;18.59;19.89;14;13.19;19.78;19.08;36.39;16.37;16.74;;5.7;16.31;38.31;7.94;17.93;5.88;19.52;13.18;11.52;9.34;12.41;6.96;7.74;12.25;17.39;10.68;12.75;14.26;;;14.76;;7.44;11.51;5.92;26.71;15.36;26;10;71;24;23;23;26;38;10;27;31;10;23;21;;8;24;9
NO2;uur;µg/m³;20100413 05:00;20100413 06:00;40.5;58.4;43.6;34;;17.1;;55.7;55.4;;18.9;25.72;18.44;19.89;53.04;34.73;17.15;;16.8;33.46;35.57;21.36;28.55;23.31;30.32;20.92;23.02;38.84;44.39;37.03;35.11;26.64;24.01;;8.26;39.98;50.03;22.69;40.66;5.58;34.43;46.19;25.97;11.14;14.6;8.58;9.58;27.2;33.07;14.67;12.65;16.87;;;15.46;;8.07;12.78;7.7;44.05;15.06;52;27;91;46;33;56;;;15;;21;17;40;47;;25;30;20
NO2;uur;µg/m³;20100413 06:00;20100413 07:00;63.2;67;55.1;52.1;;24.7;;61.6;75.1;;50.6;30.08;18.74;37.92;65.27;43.39;23.04;;24.09;39.05;58.08;32.73;29.79;31.67;53.62;37.1;33.01;49.24;59.07;50.56;40.55;40.84;35.47;;10.75;54.05;58.27;25.62;58.01;7.6;56.46;42.73;34.61;16.24;34.1;12.2;17.73;36.77;55.29;24.96;17.1;22.64;;;18.33;;12;18.88;12.25;93.21;23.4;69;38;120;65;49;80;63;69;16;46;41;15;59;59;;27;44;20
NO2;uur;µg/m³;20100413 07:00;20100413 08:00;55.3;65.8;54.6;48.4;;20.6;;61.5;65.9;;32;28.78;20.77;31;81.54;37.98;21.42;;23.85;40.11;50.65;35.89;32.44;38.51;43.67;43.67;27.36;37.41;55.95;50.27;58.52;36.29;29.09;;12.33;63.16;60.6;18.72;71.5;10.01;52.17;43.83;36.79;16.45;25.41;11.66;12.77;36.71;56.74;18.06;22.8;15.15;;;19.11;;17.51;19.14;11.71;75.52;14.84;61;26;107;55;43;78;54;50;14;42;46;17;63;48;;26;35;21
NO2;uur;µg/m³;20100413 08:00;20100413 09:00;53.7;63;51.2;40;;15.2;;45.2;62.6;;22.9;27.85;18.54;22.39;59.4;32.63;18.64;;35.89;37.17;38.35;39.68;28.24;38.23;31.98;46.7;26.61;33.27;61.35;40.91;44.21;28.98;25.62;;12.97;57.13;41.49;17.45;56.91;16.26;36.24;34.17;27.07;13.47;27.84;11.82;12.83;23.36;41.16;19.89;22.7;12.9;;;20.4;;21.79;15.38;7.03;54.14;19.83;39;18;108;36;32;58;35;32;;25;;;42;;;16;32;16
NO2;uur;µg/m³;20100413 09:00;20100413 10:00;;;74.3;35;;15.8;;;;;;29.1;16.3;19.28;57.48;29.74;18.17;;35.68;31.25;33.65;37.67;25.37;33.76;26.4;46.42;32.02;31.55;51.72;36.71;34.76;23.95;23.2;;9.56;68.55;29.62;11.83;56.32;16.29;34.49;31.4;21.48;14.88;24.79;9.56;13.05;19.57;33.04;15.13;20.36;11.38;;;18.59;;11.62;11.94;15.48;46.21;5.96;32;14;113;35;26;59;26;30;12;18;35;16;31;24;;13;20;12
NO2;uur;µg/m³;20100413 10:00;20100413 11:00;41;40.5;45.7;26.3;;15.2;20.9;25.8;38.6;;17;27.38;15.66;21.19;46.44;27.43;16.4;;33;34.2;31;26.72;23.97;30.59;20.9;42.58;34.31;25;43.44;28.14;33.25;16.3;20.86;;7.55;48.61;21.82;13.16;64.87;11.38;27.97;31.27;19.44;11.56;20.62;6.46;11.89;15.54;30.52;11.57;17.63;9.73;;;18.02;;16.2;18.65;10.18;52.77;10.16;34;16;94;32;25;50;18;24;13;13;23;17;28;16;;14;20;13
NO2;uur;µg/m³;20100413 11:00;20100413 12:00;29.6;33.7;33.2;23.7;;15.1;14.1;23.3;37.8;21.2;26.2;26.06;15.01;20.76;52.67;26.63;13.62;;22.1;28.1;31.09;18.22;18.61;28.64;14.44;27.4;27.7;16.62;30.34;22.49;14.07;14.13;16.36;;7.46;49.42;20.54;10.14;56.43;5.99;28.03;22.61;16.2;8.22;11.97;4.39;10.01;11.17;25.5;9.14;14.83;8.01;;;10.51;;9.25;24.62;9.47;47.1;9.26;40;12;101;33;22;48;25;25;13;14;30;15;26;16;;12;16;11
NO2;uur;µg/m³;20100413 12:00;20100413 13:00;29.3;30.6;26.6;;;12.2;13;18.7;29;32.1;15.9;20.41;12.21;15.85;56.81;27.43;13.48;;14.88;26.05;25.88;12.39;16.96;21.92;11.89;26.42;12.49;16.84;20.79;19.67;17.09;11.29;14.61;;10.97;46.87;16.85;10.63;64.46;6.99;28.22;18.84;15.47;11.03;10.66;3.19;9.29;9.96;20.86;7.27;10.9;7.93;;;9.4;;6.56;20.07;1.61;47.54;11.76;42;13;93;41;22;;23;26;13;13;42;9;27;15;;9;11;8
NO2;uur;µg/m³;20100413 13:00;20100413 14:00;30;31.3;23.1;18.2;13.3;8.7;16.4;21.2;29.5;34.1;15.1;18.72;14.57;14.73;52.45;27.27;10.48;;10.48;28.03;25.58;12.53;14.59;21.39;10.21;28.89;13.7;13.74;14.59;16.23;32.51;10.19;16.47;;5.18;39.26;18.27;7.83;64.34;6.45;21.55;19.85;15.32;10.93;12.78;3.58;8.61;13.46;26.73;6.3;8.17;10.24;;;9.67;;3.11;11.62;1.24;39.09;2.76;41;9;89;;18;45;21;23;8;9;51;9;22;12;;7;7;7
NO2;uur;µg/m³;20100413 14:00;20100413 15:00;32.6;37.6;28.5;26.6;15.5;7.1;27.4;33.2;29.6;26.9;12;18.03;15.89;15.15;53.05;20.81;11.23;;10.07;31.82;25.21;13.49;16.31;17.34;10.22;29.12;23.21;16.23;10.9;22.75;31.11;8.72;13.04;;7.68;34.36;34.5;8.14;69.71;3.42;22.3;20.75;14.17;8.82;10.56;5.16;6.73;12.09;22.66;4.87;6.92;11.16;;;11.54;;4.76;13.64;1.23;46.55;0.77;;9;104;37;18;42;24;28;9;9;32;12;24;12;;9;9;8
NO2;uur;µg/m³;20100413 15:00;20100413 16:00;41.5;42.2;29.2;35.8;20.7;10.6;28.7;41.2;26.1;27.6;19.3;15.79;10.52;14.38;61.52;21.79;10.82;;13.51;33.09;29.76;14.77;14.69;12.76;9.34;34.13;22.81;18.14;13.74;25.39;25.53;9.48;12.37;;7.29;31.75;39.98;6.89;68.95;4.76;19.74;19.15;12.13;8.34;8.49;3.98;9.3;13.32;22.34;5.9;7.48;6.75;;;12.58;;2.57;9.24;3.9;41.37;3.01;35;9;100;47;21;49;28;25;7;8;26;7;30;10;;7;8;7
NO2;uur;µg/m³;20100413 16:00;20100413 17:00;40.3;41.9;29.3;35.7;23.3;12;30.5;49.2;26.8;26.3;16.7;15.33;10.31;13.34;59.64;21.69;11.04;;9.34;38.06;38.78;10.39;14.16;13.74;11.19;32.54;27.59;13.44;14.43;28.17;27.23;22.16;14.38;;7.83;39.48;45.57;7.01;69.04;3.97;16.83;15.64;10.58;6.46;10.26;4.36;6.82;9.88;21.18;2.74;8.39;7.87;;;14.04;;2.44;5.67;0.18;35.26;1.95;31;8;86;36;15;37;29;26;7;8;23;10;24;10;;5;6;7
NO2;uur;µg/m³;20100413 17:00;20100413 18:00;27.8;32.9;28.2;33.3;22.4;12.9;28.3;47.3;24.7;25.8;16.8;15.25;9.65;12.46;42.1;20.47;12.3;;9.15;36.89;31.1;9.37;18.7;17.06;13.34;32.62;18.7;12.87;10.41;26.12;19.27;25.38;17.15;;6.41;36.99;42.98;8.32;58.98;3.7;17.46;12.18;10.96;6.09;6.93;3.32;5.04;11.15;20.84;2.34;9.45;8.18;;;11.49;;3.41;5.1;0.33;31.25;0.21;34;10;89;42;20;34;24;27;7;8;18;5;21;11;;;5;5
NO2;uur;µg/m³;20100413 18:00;20100413 19:00;32.8;44.8;33;37.4;25;20;25.3;43;22.2;30.8;11.5;15.39;11.49;10.96;38.65;15.68;12.34;;24.41;30.73;27.65;8.56;18.04;17.03;16.95;26.46;16.68;12.54;14.31;26.29;20.11;25.68;18.18;;2.96;26.88;38.47;7.47;76.62;3.34;18.32;13.06;10.66;6.96;7.8;3.34;6.72;10.63;21.36;7.31;9.11;7.88;;;10.69;;3.52;8;2.85;37.77;0.82;30;12;60;39;18;35;21;27;8;9;14;3;23;13;;9;10;6
NO2;uur;µg/m³;20100413 19:00;20100413 20:00;33.3;40.4;26.6;29.4;22.8;21.5;29.4;39.2;24.3;29.6;8.5;16.61;16.96;14.02;34.44;15.55;16.08;;25.32;35.91;35.05;10.99;18.63;27.06;18.67;16.36;18.86;10.78;16.34;26.16;17.06;25.99;19.58;;4.14;23.23;37.5;7.46;40.29;3.65;19.16;10.8;9.3;6.63;8.96;4.29;9.99;10.57;18.03;8.13;9.27;8.23;;;12.98;;2.96;7.92;1.94;44.11;1.92;22;11;61;35;19;29;28;26;9;11;24;5;22;14;;8;11;6
NO2;uur;µg/m³;20100413 20:00;20100413 21:00;31.9;40;31.4;34;24.2;19.4;32.9;43.2;31.8;31.2;12.6;18.94;14.04;12.41;29.12;13.52;18.38;;29.55;34.2;31.54;10.38;30.53;30.01;20.92;25.13;13.35;8.84;11.13;25.91;16.46;24.3;27.18;;7.61;23.59;41.27;5.48;22.74;4.06;17.73;10.93;9.33;5.12;10.2;2.99;7.37;11.16;19.27;4.77;10.46;9.03;;;11.91;;1.84;3.74;0.88;27.08;0.04;24;9;52;36;20;34;25;31;8;9;29;5;20;13;;7;9;6
NO2;uur;µg/m³;20100413 21:00;20100413 22:00;27.8;33.7;44.9;31.1;26.2;20.7;25.9;47;28.1;28.5;10.7;21;13.9;13.08;28.11;13.62;19.61;;24.88;25.31;24.39;10.32;19.75;23.02;16.16;13.65;13.12;9.41;12.04;29.92;17.36;27.42;16.06;;4.45;23.78;44.82;4.75;21.7;2.2;13.37;13.28;14.62;6.45;9.83;3.46;6.04;14.86;24.83;3.25;11.47;9.41;;;10.44;;1.5;3.25;1.93;33.52;1.27;28;7;55;35;19;35;31;31;4;10;26;3;18;9;;6;12;4
NO2;uur;µg/m³;20100413 22:00;20100413 23:00;22.4;29.6;31.1;21.7;17.8;17.7;17.9;29.7;14.2;15.5;8.4;20.51;10.49;14.09;23.82;12.99;18.05;;22.38;19.27;18.41;9.51;16.31;19.09;16.67;8.76;13.53;6.01;6.35;21.23;15.13;17.14;14.86;;2.04;20.93;27.36;5.38;16.17;1.87;12.75;17.58;16.41;9.62;9.59;4.32;6.09;20.78;18.42;1.9;10.39;6.27;;;9.42;;2.36;3.09;1.1;17.64;1.78;16;9;46;34;21;28;23;23;3;9;13;2;15;9;;6;11;4
NO2;uur;µg/m³;20100413 23:00;20100414 00:00;22.7;20.9;25.3;13.3;10.1;13.4;15.3;25.9;13.9;14.9;7.9;16.19;9.67;12.55;25.41;12.97;15.82;;18.68;17.11;17.61;8.33;20.06;22.42;14.49;9.55;13.09;4.55;3.9;14.85;6.64;11.43;18.86;;2.35;18.7;23.51;3.83;15.37;2.12;19.3;12.75;9.34;8.95;10.63;2.43;5.45;26.8;20.26;8.12;10.51;6.38;;;8.58;;1.23;4.09;1.41;15.09;3.63;14;10;35;19;17;14;15;17;5;9;9;2;20;6;;6;5;3
NO2;uur;µg/m³;20100414 00:00;20100414 01:00;21.9;24.3;19.4;17;10.6;12.9;17.2;23.8;9.9;10.1;6.3;15.71;10.06;12.19;17.08;10.45;13.13;;14.54;12.17;14.37;12.61;11.85;20.94;11.68;9.37;6.06;2.7;5.13;13.15;;13.76;22.09;;1.95;8;20.42;;10.27;1.73;17.19;11.37;5.39;5.87;12.39;;5.15;13.93;17.6;9.69;7.52;7.19;;;7.05;;1.83;3.96;2.48;11.09;6.02;9;7;26;20;14;11;10;12;5;5;13;2;14;5;;4;5;3
NO2;uur;µg/m³;20100414 01:00;20100414 02:00;20.6;21.9;21.2;18;13.5;13.2;17.3;22;13.4;13.8;5.6;20.65;9.02;11.86;17.4;13.94;12.46;;11.63;9.68;13.18;11.22;11.51;24.1;10.77;8.95;8.66;3.17;5.76;14.19;4.88;16.44;22.93;;7.87;4.81;17.77;2.29;7.94;1.87;13.21;8.99;3.61;3.82;14.67;1.74;4.23;12.02;12.17;18.49;6.76;6.84;;;6.86;;2;3.69;2.01;10.24;4.05;11;4;22;17;12;14;11;18;2;8;21;1;11;6;;2;4;3
NO2;uur;µg/m³;20100414 02:00;20100414 03:00;25.9;28;40;14.9;12.3;10.7;20.4;25.5;20.5;15;13.8;18.68;7.12;10.16;17.63;14.01;10.94;;8.61;8.14;14.21;11.61;23.42;18.79;10.21;17.04;12.27;5.1;8.59;14.54;10.47;15.39;12.79;;11.24;8.07;21.86;4.05;10.96;1.94;8.72;6.87;4.53;3.47;16.27;2.53;5.02;10.78;11.65;12.82;7.19;8.36;;;6.39;;3.07;5.89;2.2;12.39;5;14;3;28;15;13;10;15;17;2;8;38;2;12;13;;3;9;4
NO2;uur;µg/m³;20100414 03:00;20100414 04:00;23.3;46.7;38;15.7;12.2;10;21.5;23.9;25.2;32.7;14.9;18.1;6.6;10.49;19.53;12.85;8.77;;9.71;8.14;12.79;11.48;19.89;15.61;11.73;13.36;13.32;8.44;8;11.81;11.55;13.05;15.84;;8.01;8.63;20.5;4.79;11.04;2.15;6.69;7.5;4.31;3.77;12.48;2.93;5.17;13.3;10.67;10.54;6.44;10.88;;;6.64;;3.56;7.16;2.12;11.59;5.91;8;3;30;11;13;7;13;15;2;6;16;2;11;12;;3;14;3
NO2;uur;µg/m³;20100414 04:00;20100414 05:00;31.6;42.8;47.9;20.5;14.8;14.9;24.3;43.1;38.1;29.8;18.2;18.76;9.31;13.53;23.61;12.99;9.2;;10.46;24.28;25.84;13.74;25.39;21.67;20.08;19.21;18.94;13.09;13.73;18.08;27.72;29.16;25.62;;2.38;15.87;41.8;6.29;17.84;2.58;8.81;7.49;5.85;3.06;12.47;3.8;8.14;14.46;11.71;5.9;7.22;11.22;;;7.24;;4.9;9.25;2.61;26.05;7.42;13;6;66;17;12;10;12;22;4;6;18;2;11;11;;5;14;5
NO2;uur;µg/m³;20100414 05:00;20100414 06:00;51;70.5;59.2;38.3;29.6;32.4;44.1;90.9;64.4;57.3;20.1;20.73;11.09;23.23;37.2;15.79;16.34;;10.49;54.92;43.13;21.2;34.82;25.87;38.93;17.86;20.55;31.2;31.89;29.54;59.3;47.96;34.77;;2.15;29.06;88.96;19.76;36.28;3.13;25.5;31.14;23.93;5.69;18.03;4.74;4.1;24.84;33.77;10.86;9.9;15.82;;;9.58;;6.77;13.24;3.24;53.58;8.28;30;22;105;28;21;30;23;35;9;11;17;3;26;20;;17;34;11
NO2;uur;µg/m³;20100414 06:00;20100414 07:00;61.8;69.5;65.6;47.2;38.4;38.1;69.4;74.3;83.5;83.4;21.8;32.09;14.72;29.6;59.55;22.67;22.2;;18.4;62.64;75.12;42.57;33.95;32.75;54.73;41.51;24.16;26.13;33.44;48.33;71.21;44.78;47.05;;2.92;50.63;70.87;19.08;58.12;5.18;42.9;55.23;46.53;13.08;23.14;8.22;11.54;33.44;58.48;15.39;16.21;15.8;;;10.82;;11.56;15.38;8.38;69.93;28.89;55;27;123;62;32;72;59;56;18;27;26;7;40;34;;21;27;11
