Export;EXP-2023-01 (20230707 08:36);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
NO2;uur;µg/m³;20110504 09:00;20110504 10:00;35.2;30.2;20.3;33.1;20.7;11.5;;33.2;26.4;16.1;5.2;;7.47;12;25.18;21.66;;9.49;14.6;28.12;55.06;6.52;16.03;11.72;15.06;9.4;11.93;10.59;7.61;26.48;39.87;21.69;11.85;2.99;35.33;35.15;9.81;45.85;3.02;27.08;19.12;10.6;4.65;16.22;3.83;12.02;16.25;26.95;48.09;;6.06;5.54;44.12;20.55;2.35;3.49;2.51;6.58;5.12;50.8;10.6;38;4;66;31;23;43;21;31;8;6;32;4;21;20;19;9;4;10
NO2;uur;µg/m³;20110504 10:00;20110504 11:00;30.9;23.7;13.3;35;19.2;28.1;;;19.5;14.4;5.4;;6.43;5.49;14.52;12.28;;9.09;19.93;32.95;54.37;4.19;16.56;14.33;14.8;16.94;8.8;7.46;6.68;19.54;36.43;20.37;14.98;2.91;36.93;37.12;8.21;45.9;2.01;24.55;15.8;9.14;3.87;12.22;3.16;8.35;13.45;26.46;54.33;;3.74;3.51;53.63;18.95;4.73;3.69;2.01;6.64;4.77;46.71;6.97;36;5;78;;28;42;23;37;8;8;23;3;19;18;17;10;7;7
NO2;uur;µg/m³;20110504 11:00;20110504 12:00;23.8;19.6;11.3;25.9;19.4;20.2;;;12.2;13.6;3.6;;6.76;6.39;11.92;10.21;;7.22;10.37;44.19;58.64;7.62;16.58;17.53;10.87;11.32;6.57;7.18;4.49;15.13;27.28;16.06;9.61;2.3;28.31;28.98;7.91;46.54;2.08;29.73;18.57;12.99;3.42;9.69;3.01;8.81;16.16;27.66;50.22;;4.56;4.04;61.54;9.03;4.78;2.84;1.13;9.85;3.07;29.43;7.12;28;3;97;37;23;48;24;31;6;7;30;4;21;13;18;11;7;11
NO2;uur;µg/m³;20110504 12:00;20110504 13:00;26.3;19.5;14;27.4;22;19.3;;;11.1;15.1;8.4;;11.09;6.02;12.96;11.55;;9.43;10.88;40.91;58.73;10.97;17.57;20.22;13.39;8.61;10.75;6.75;6.44;13.75;24.48;13.99;8.15;4.7;33.84;32.69;9.38;34.19;1.62;30.72;16.64;11.11;4.49;6.97;2.52;9.5;14.43;25.18;72.48;;4.55;3.86;49.66;15.34;2.07;4.7;2.7;7.93;2.62;30.73;8.5;39;5;80;30;23;41;26;39;11;8;25;2;24;32;19;8;6;6
NO2;uur;µg/m³;20110504 13:00;20110504 14:00;29.1;22.7;13.9;27.4;21.5;12.2;;;12.2;14.6;4.4;9.53;5.33;7.72;21.95;11.31;;11.97;16.29;34.02;54.31;9.9;9.72;14.8;14.98;6.35;11.01;5.66;4.34;17.4;27.78;12.12;9.08;1.85;27.61;33.68;9.8;32.15;1.64;28.17;16.68;9.45;2.98;8.74;2.93;10.08;13.69;28.76;33.04;;4.3;2.78;42.19;18.25;1.73;5.38;1.77;6.25;2.14;26.46;7.66;36;7;76;33;25;37;29;28;11;6;37;2;23;16;22;10;6;6
NO2;uur;µg/m³;20110504 14:00;20110504 15:00;28.9;23.5;15;34.7;20.9;7.3;;;11.3;14.9;4.9;8.42;5.3;6.2;12.93;9.56;;10.64;12.65;36.48;51.56;7.09;11.73;12.54;11.62;6.33;13.9;5.82;5.37;18.93;27.2;14.08;10.14;3.02;26.59;37.72;10.53;36.98;2.05;29.29;16.14;10.4;2.66;8.08;2.56;10.67;10.88;26.7;30.89;;6.01;2.41;36.91;17.86;2.24;5.85;1.62;4.76;3.04;32.09;7.05;33;6;76;27;25;36;26;33;6;6;39;3;22;20;19;;6;6
NO2;uur;µg/m³;20110504 15:00;20110504 16:00;26.6;23.2;15.6;37.3;15.5;7.7;;33.8;15.2;13.5;2.5;12.42;7.42;8.72;14.59;13.57;12.78;10.05;11.11;38.56;54.94;8.2;16.47;15.66;11.28;4.41;7.71;2.47;5.02;16.54;25.62;15.5;9.72;2.02;23.89;40.72;8.9;40.52;2.5;21.68;18.4;9.9;2.41;9.4;2.47;10.36;12.29;21.59;15.51;;8.39;2.56;48.84;21.12;1.17;4.12;1.54;4.23;3.02;33.04;8.8;35;4;100;24;25;28;28;35;6;6;34;4;21;28;19;7;7;6
NO2;uur;µg/m³;20110504 16:00;20110504 17:00;22;23.8;15.4;31.7;16.8;9.2;;32.7;11.9;12.7;2.4;9.28;4.17;10.03;16.38;14.61;16;18.59;12.15;48.82;47.05;7.06;16.14;13.89;11.31;6.16;7.27;3.43;4.73;14;18.17;15.24;9.99;2.15;26.22;39.4;9.2;50.68;2.62;19.14;14.35;10.54;2.22;7.96;2.8;10.24;9.67;21.18;48.18;;7.01;2.77;42.24;17.03;1.52;4.94;1.6;4;2.59;25.68;7.99;39;5;91;36;23;30;24;43;6;6;60;4;17;33;18;10;6;6
NO2;uur;µg/m³;20110504 17:00;20110504 18:00;24.3;23.5;11.7;25.1;12.3;8.1;;28.6;14.1;15.7;1.9;11.45;6.52;10.68;14.08;15.31;16.49;16.24;14.37;32.01;45.1;8.03;15.38;10.31;15.33;9.44;6.41;4.04;6.6;11.26;15.13;15.24;10.6;2.45;25.95;39.96;9.85;48.24;2.23;16.71;10.78;8.79;2.83;8.04;3.03;14.8;10.14;17.67;14.17;;5.95;2.86;68.72;18.82;2.18;9.19;2.76;4.1;2.7;25.33;8.83;50;7;106;36;29;54;28;45;7;7;63;3;16;22;17;9;5;5
NO2;uur;µg/m³;20110504 18:00;20110504 19:00;15.1;19.7;14.3;22.4;15.5;8.1;;24.8;16.2;17.8;5.9;15.19;24.91;13.16;19.31;22.79;13.93;13.82;15.22;35.03;45.72;9.61;15.97;10.34;18.72;15.14;7.87;6.6;11.3;11.54;16.19;13.64;12.23;4.42;24.6;29.17;8.86;48.77;3.75;14.18;9.77;8.12;2.98;8.92;3.34;12.54;11.21;29.79;16.55;;9.27;4.82;68.27;21.4;9.21;19.75;5.51;5.87;2.75;19.23;8.89;34;7;77;29;25;56;18;38;11;9;47;5;15;16;17;7;4;6
NO2;uur;µg/m³;20110504 19:00;20110504 20:00;17.2;21.2;15.8;27;17.8;7.8;;36.9;16.3;23.9;10.1;13.31;10.22;13.92;21.11;23.62;21.51;22.32;12.8;49.18;48.49;10.9;22.25;13.24;16.06;18.53;12.42;9.96;13.82;18.68;20.81;19.04;14.44;5.09;25.05;49.12;10.64;40.59;3.43;17.3;12.43;9.8;4.01;8.59;6;7.07;11.85;36.94;18.54;;11.33;7.6;72.96;34.67;6.39;8.44;6.17;6.63;;19.03;11.84;37;10;77;33;20;48;20;26;12;20;28;3;20;32;25;13;10;7
NO2;uur;µg/m³;20110504 20:00;20110504 21:00;30.3;28.1;25.1;49.3;21.6;10.4;;50.9;26.7;28.4;9;17.9;31.3;18.92;22.05;21.62;39.16;30.49;12.41;58.6;57.74;16.62;32.92;17.52;25.2;17.14;24.73;15.06;15.58;23.82;23.95;33.58;21.39;8.01;40.76;48.01;10.75;23.24;5.16;20.9;19.79;22.67;8.46;14.8;5.74;6.84;18.09;33.51;60.89;;15.23;14.84;83.5;37.17;3.98;4.88;9.87;9.25;;30.49;13.87;52;13;101;33;25;79;25;41;15;18;33;3;35;23;45;23;14;13
NO2;uur;µg/m³;20110504 21:00;20110504 22:00;34.5;39.4;35.8;39.4;27.5;16.6;;61.9;36.8;61.6;11.8;23.79;55.78;16.81;43.39;32.74;26.34;29.94;15.46;49.24;56.9;23.28;38.94;22.39;36.59;18.4;22.11;16.3;20.91;32.43;30.16;52.38;38.71;9.69;32.6;64.93;12.92;18.33;5.19;22.02;22.42;49.13;15.46;15.24;7.06;11.57;28.44;39.59;30.78;;21.88;22.35;94.12;44.46;5.84;4.38;6.82;11.17;;28.82;11.01;61;17;104;29;29;62;31;41;19;27;48;4;48;29;36;27;18;18
NO2;uur;µg/m³;20110504 22:00;20110504 23:00;49.8;49.3;53.7;41.7;35.6;21.9;;74.5;43.8;66.1;35.6;36.45;39.25;12.06;78.23;64.05;27.78;31.87;17.19;48.4;50.22;23.91;31.8;21.83;38.55;18.32;25.14;25.56;27.01;42.62;42.14;48.34;34.18;10.56;47.05;75.84;17.66;28.87;4.93;28.31;27.92;27.7;16.84;19.61;11.43;12.48;29.52;30.74;31.34;;13.44;24.93;58.34;33.94;5.53;4.82;4.52;14.75;;33.74;11.71;61;15;103;39;29;67;39;46;18;30;38;13;57;52;52;26;23;15
NO2;uur;µg/m³;20110504 23:00;20110505 00:00;63;65.8;61.8;35.8;35.7;26.7;;55.5;58.2;33.3;78.5;32.64;39.66;11.99;70.43;70.15;25.26;29.85;20.31;38.43;39.15;19.06;33.71;34.58;36.13;28.65;41.94;25.19;35.13;40.39;36.06;55.78;34.8;9.7;;61.17;;21.23;8.78;;32.42;14.96;17.33;21.59;;12.29;20.4;27.91;30.54;;11.31;23.25;30.09;19.76;6.34;6.09;9.8;19.35;;30.46;11.08;51;11;83;34;30;27;23;44;14;34;24;22;62;46;48;28;24;18
NO2;uur;µg/m³;20110505 00:00;20110505 01:00;71.1;62.8;40.7;29.1;29;23.8;;35.1;52.7;37.1;45.9;20.2;38.42;;57.43;39.81;;31.44;18.84;28.44;37.2;;24.73;22.86;36.14;27.07;30.7;23.63;47.7;25.3;42.25;30.08;35.85;15.29;40.14;36.32;14.17;42.76;4.45;23.68;18.54;;14.63;16.17;10.72;14.5;17.89;23.33;14.77;;12.29;17.4;22.61;20.9;9.53;9.07;11.79;;;36.25;10.04;30;4;58;27;16;18;12;31;18;22;37;27;47;59;24;14;21;20
NO2;uur;µg/m³;20110505 01:00;20110505 02:00;38.4;18.4;44.8;22.4;19.6;17.5;;23.2;24.6;38.6;60.4;19.8;27.57;;48.59;37.75;20.34;29.51;16.92;24.84;29.54;20.95;25.55;21.97;34.61;23.59;31.22;24.48;31.42;23.51;32.08;26.87;30.92;25.41;28.86;27.23;12.67;28.79;3.73;19.12;12.8;;12.8;15.5;9.23;12.5;14.99;16.87;13.06;;12.11;12.71;30.5;24.87;9.63;7.69;11.11;;;43.4;10.48;27;5;58;21;17;19;10;32;16;12;14;18;36;27;12;8;14;13
NO2;uur;µg/m³;20110505 02:00;20110505 03:00;61.3;20.9;41.1;22.1;17.9;16.1;;18.2;20.1;37;25.7;16.77;30.05;;47.84;44.48;20.02;30.75;15.23;21.42;29.45;21.97;25.36;23.23;24.88;19.36;33.4;24.87;20.32;27.21;38.18;24.96;20.06;18.88;26.27;22.23;8.96;27.58;4.32;25.75;16.75;;12.23;16.89;7.86;13.01;16.66;16.43;12.85;;12.16;11.23;30.52;23.2;8.78;9.25;4.25;;;25.33;11.28;21;4;51;24;22;19;11;35;14;17;12;10;19;23;13;8;15;19
NO2;uur;µg/m³;20110505 03:00;20110505 04:00;72;27.5;48;25.9;18.4;21.9;;32;21.8;27.7;27.5;15.02;26.01;;45.94;41.94;21.32;30.41;15.15;21.32;29.32;22.33;30.72;24.32;34.45;14.82;35.67;23.61;18.59;35.6;63.12;19.95;25.83;11.6;25.86;33.62;9.07;30.54;5.13;52.13;17.61;;11.74;13.6;7.86;12.65;19.08;22.26;10.57;;12.33;12.57;32.1;26.43;9.28;10.33;4.54;;;23.88;10.39;28;5;70;25;24;28;13;54;13;18;19;14;26;25;13;9;19;28
NO2;uur;µg/m³;20110505 04:00;20110505 05:00;102.1;43;51.8;51.8;31;40.4;;56.4;36.7;31.6;41.9;19.27;35.53;;41.8;44.12;21.54;32.55;14.65;33.35;39.55;35.08;53.08;33.05;63.58;17.24;33.08;29.85;27.92;44.88;71.12;24.37;27.61;12.9;32.94;69.02;12.26;45.35;7.58;45.53;32.93;;12.93;23.4;8.03;12.43;24.32;37.13;16.14;;10.64;18.44;48.46;27.89;10.59;12.49;6.1;;;49.04;12.61;52;9;82;42;24;30;19;66;17;20;21;20;39;40;14;15;21;48
NO2;uur;µg/m³;20110505 05:00;20110505 06:00;142.3;67.8;67.3;77.8;51.6;61;;74.9;64.8;47.1;66.4;18.85;29.57;;50.39;48.98;30.73;45.75;17.04;49.87;67.21;49.77;71.03;60.4;73.09;26.06;25.11;44.19;49.31;63.61;74.76;30.9;35.67;21.75;66.09;103.89;30;76.12;9.1;50.22;52.11;;23.97;45.51;8.32;20.74;52.31;73.92;19.71;;13.44;26.97;66.48;30.74;12.15;17.32;9.27;;;90.07;10.7;71;20;114;98;28;37;48;89;34;28;41;28;64;68;23;46;33;72
NO2;uur;µg/m³;20110505 06:00;20110505 07:00;122.7;76.3;83.8;91.6;66.2;62.2;;83.2;70.1;55;105.8;25.72;28.83;;66.07;53.29;30.14;49.3;19.98;52.98;74.91;57.73;66.3;63.06;76.85;25.99;27.7;67.21;66.23;69.23;80.39;37.92;35.07;36.25;81.91;98.69;79.12;71.41;11.06;70.31;72.84;;47.65;52.58;11.81;28.08;79.91;102.92;26.23;;23.01;20.99;79.25;43.91;20.54;24.69;8.99;;;95.26;20.04;94;44;117;118;48;61;51;96;42;50;59;58;;75;39;62;35;68
NO2;uur;µg/m³;20110505 07:00;20110505 08:00;124.1;56.1;85;100.6;73.9;57.8;;103.3;77.5;65.9;101.3;29.31;40.05;;69.49;65.4;39.21;46.84;26.82;59.24;81.91;51.29;54.13;50.64;56.55;28.37;29.41;76.53;58.5;66.58;85.43;36.68;34.79;39.35;84.42;99.27;72.94;71.63;15.07;56.79;68.17;;53.37;47.04;17.84;38.33;74.94;80.02;37.02;;24.55;18.87;74.63;44.31;33.1;20.18;10.44;;;81.84;20.8;113;50;123;116;57;66;52;104;38;41;47;69;62;60;47;67;44;68
NO2;uur;µg/m³;20110505 08:00;20110505 09:00;108;47.3;72.6;89.6;63.7;63.7;;77.6;80.5;80.9;91.2;28.64;33.28;;65.4;36.21;29.8;37;20.81;55.63;67.51;34.69;49.55;44.89;32.17;36.84;30.99;79.57;59.99;68.84;72.68;38.67;32.93;29.79;73.11;90.96;63.82;70.46;;51.29;54.32;;46.54;40.64;16.79;35.05;50.6;67.74;47.4;;16.78;24.15;62.34;36.3;25;16.68;13.03;;;52.28;24.31;99;57;114;102;;57;46;93;33;34;44;55;43;56;44;63;41;61
NO2;uur;µg/m³;20110505 09:00;20110505 10:00;115.6;33.2;40.8;66.4;42.5;67.3;;49.1;63.7;62.1;66;18.99;34.3;;22.94;18.79;18.69;20.78;10.37;43.54;48.87;15.37;27.66;22.93;20.78;52.77;14.98;55.4;49.66;44.7;41.52;26.76;26.08;23.96;61.46;59.9;51.52;51.82;;49.34;24.75;;26.12;30.41;12.89;23.87;46.17;69.53;47.59;;10.04;16.4;44.4;17.19;16.13;16.34;13.65;;;50.56;17.74;103;43;108;87;29;57;34;79;24;27;35;45;51;39;33;40;35;42
NO2;uur;µg/m³;20110505 10:00;20110505 11:00;114.9;18.8;26.8;51.5;26.9;67.6;;45;24.5;29.5;22.1;15.95;23.63;;17.7;14.73;16.35;11.59;9.75;26.16;41.18;9.79;11.38;11.44;10.42;27.59;10.15;35.11;30.31;31.9;22.1;16.43;16.77;11.79;45.44;42.29;38.03;46.68;9.05;35.64;19.29;;13.73;15.11;9.39;13.38;32.49;35.54;39.02;;7.06;9.56;34.62;9.58;8.99;11.09;6.47;;;54.84;16.25;89;;;79;18;46;24;72;21;22;16;24;30;20;16;19;;
NO2;uur;µg/m³;20110505 11:00;20110505 12:00;101.9;21.9;29.9;58.8;28.4;35.5;;47.8;27.1;30;21.6;11.12;15.19;;18;13.23;14.15;10.8;10.81;32.4;30.74;7.93;11.99;12.05;9.82;24.26;10.7;28.06;23.17;27.45;25.26;11.62;13.07;12.18;41.62;56.35;38.75;40.75;5.39;50.39;19.87;;11.57;11.63;10.44;9.35;31.8;37.28;19.64;;5.54;7.09;40.31;14;9.56;6.81;3.12;;;45.4;11.77;90;17;90;65;17;46;27;58;14;12;19;18;18;15;15;18;15;24
NO2;uur;µg/m³;20110505 12:00;20110505 13:00;87.1;18.2;26.6;65.3;31.2;33.8;;54;25.8;30.5;37;10.44;18.91;;26.99;12;13.69;9.59;9.66;32.63;32.05;8.51;10.47;11.15;13.11;8.99;16.53;25.33;20.53;24.26;26.04;11.6;12.75;9.69;35.67;52.99;28.57;38.85;5.52;33.66;20.34;;10.87;12.03;7.91;9.15;29.39;48.15;17.68;;6.62;14.67;37.57;22.09;9.08;6.1;4.08;;;43.93;8.93;100;16;83;64;19;41;22;69;13;14;24;14;19;15;17;19;15;28
NO2;uur;µg/m³;20110505 13:00;20110505 14:00;102.3;19.4;24;97.4;16;56.4;;56.4;21.5;28.7;33.8;10.48;15.19;;21.37;12.68;14.84;11.04;10.02;35.96;32.6;9.02;9.33;11.48;12.02;14.56;20.27;22.27;23.53;25.25;23.46;13.65;13.42;11.38;31.44;60.2;21.01;44.16;9.99;28.99;20.34;;11.26;14.51;12.67;13.34;34.45;49.37;19.16;;8.28;10.97;40.22;22.58;9.19;7.53;3.19;;;42.28;7.69;89;14;87;80;16;36;20;58;14;15;33;13;19;16;16;20;16;32
NO2;uur;µg/m³;20110505 14:00;20110505 15:00;109.3;20.9;21.8;71.5;15.1;70;;47;26.8;36.4;31.5;10.42;12.79;;27.56;17.34;12.86;13.55;9.32;36.91;35.58;8.15;8.79;14.89;12.39;21.66;18.59;24.08;26.51;23.57;26.84;13.23;13.35;10.72;37.13;57.13;26.23;47.86;9.74;39.71;21.2;;9.86;13.8;5.64;12.38;33.17;57.71;19.56;;10.94;13.22;42.6;22.51;7.72;7.63;3.94;;;42.02;7.74;82;15;85;80;17;38;26;61;22;16;52;10;23;18;18;22;17;28
NO2;uur;µg/m³;20110505 15:00;20110505 16:00;126.3;16.3;25;68;13.9;52.7;;57.5;20.8;37.2;40.9;10.75;12.1;;21.22;18.57;13.27;12.35;9.85;37.49;37.48;10.51;9.98;19.49;13.29;23.31;19.01;22.52;30.44;24.11;24.79;13.26;12.85;11.76;41.98;60.49;28.72;47.33;8.57;34.52;23.74;;13.02;12.18;6.31;12.86;37.07;44.72;31.74;;20.89;19.37;44.2;23.07;10.51;9.43;5.46;;;49.22;6.49;83;14;79;81;21;52;29;70;27;20;81;8;26;18;20;21;20;28
NO2;uur;µg/m³;20110505 16:00;20110505 17:00;113.7;20.1;26.8;71.2;14.3;49.2;;44.4;31;35.1;57.9;10.31;9.91;;22.94;18.66;13.28;13.25;11.69;36.82;38.43;9.99;13.49;15.66;12.58;25.69;19.7;21.98;24.28;25.51;25.83;15.26;12.5;15.15;41.59;47.54;24.41;46.01;8.55;31.79;27.01;;18.58;12.96;8.37;11.59;34.07;39.32;21.33;;25.02;22.97;38.02;21.91;8.49;10.15;6.14;;;30.73;9.08;96;14;76;72;23;33;34;75;20;20;93;9;27;18;20;20;20;35
NO2;uur;µg/m³;20110505 17:00;20110505 18:00;112.4;16.8;35.8;76.6;17.6;53;;56.9;24.4;27.7;35.1;12.11;10.38;;23.54;19.09;13.06;12.34;12.5;37.87;32.94;11.01;12.41;18.9;16.34;23.04;18.91;19.94;25.62;27.51;26.16;15.7;14.23;14.22;51.77;58.17;19.91;46.53;8.85;30.78;27.58;;18.89;14.77;8.98;11.44;41.55;47.6;20.3;;21.15;24.06;40.85;23.62;12.51;8.67;6.31;;;27.04;10.97;83;14;79;66;26;43;28;73;24;24;91;12;25;18;18;20;21;34
NO2;uur;µg/m³;20110505 18:00;20110505 19:00;131.6;27.2;36;85.6;23.9;21.5;;64.8;28.9;64.3;13.7;17.06;13.17;;24.21;17.94;16.2;14.58;11.26;44.34;36.76;15.35;20.61;21.27;20.28;28.53;19.42;19.48;40;28.12;28.9;17.11;20.03;15.48;53.77;77.09;17.85;39.73;9.6;37.91;32.36;;24.71;19.71;12.19;15.06;51.59;63.89;29.13;;21.25;24.92;47.2;26.63;19.48;12.85;8.23;;;25.72;9.64;77;15;102;53;30;40;31;73;22;29;64;15;39;25;26;23;25;36
NO2;uur;µg/m³;20110505 19:00;20110505 20:00;83;36.3;49.6;55;33.9;32.8;;62;38.8;65.9;15.2;22.58;22.25;;24.3;18.26;24.99;34.57;12.58;56.39;39.25;27.45;18.95;35.37;37.69;53.06;20.89;24.07;74.74;38.63;56.78;23.42;28.34;19.09;56.11;67.09;20.65;57.88;9.62;39.15;40.22;;31.91;33.49;16.61;19.32;58.31;71.51;40.65;;24.14;35.2;77.43;42.56;24.94;18.49;7.67;;;30.93;12.38;96;22;108;49;29;48;34;87;35;43;59;14;54;46;;21;34;28
NO2;uur;µg/m³;20110505 20:00;20110505 21:00;65;49.9;78.6;66.9;49.9;34.9;;86.9;54;83.9;14;29.05;35.26;;27.36;25.6;46.92;65.98;17.16;75.44;50.61;58.26;54.59;41.2;75.41;49.42;30.2;32.42;73.65;55.59;93.44;34.93;42.81;23.23;85.53;91.76;24.08;64.95;9.93;44.11;37.86;;25.78;63.39;21.76;18.26;65.42;90.12;50.13;;26.77;57.38;79.04;46.66;25.55;23.86;8.67;;;35.75;13.99;97;25;100;60;34;50;42;93;33;55;45;16;59;55;43;44;46;28
NO2;uur;µg/m³;20110505 21:00;20110505 22:00;91.9;71.7;107.4;76.6;63.4;44.2;;77.6;88.5;162.9;55.8;28.75;52.12;;37.48;33.62;49.76;67.42;18.34;58.81;84.07;64.95;62.93;58.09;100.96;39.65;34.63;51.4;62.84;45.53;101.52;56.71;49.43;31.1;79.04;78.49;22.62;70.54;10.37;63.03;49.67;;26.26;59.96;24.84;22.38;79.84;77.69;53.61;;32.73;48.95;77.31;46.13;25.11;30.82;8.54;;;37.05;13.5;66;28;109;52;36;51;40;80;35;37;62;32;47;44;37;40;69;27
NO2;uur;µg/m³;20110505 22:00;20110505 23:00;107;68.2;88.4;76.1;70.6;62.8;;74.8;85;84.9;122.3;30.07;52.49;;42.74;37.68;65.3;69.82;24.56;59.89;78.02;61.82;58.21;51.9;121.21;52.83;38.92;48.15;78.82;60.2;100.75;66.23;81.91;38.63;57.74;81.29;21.61;82.34;11;64.45;69.06;;30.75;65.34;24.07;30.91;71.21;72.34;44.6;;30.49;39.72;79.83;48.15;28.02;37.74;11.75;;;28.76;16.17;77;31;107;60;40;52;55;91;44;42;53;39;49;43;41;23;76;28
NO2;uur;µg/m³;20110505 23:00;20110506 00:00;110.3;72.3;83.7;75.8;71.2;52.3;;85;89.6;77.2;83.1;23.18;60.06;;23.19;;39.7;69.85;31.61;;74.9;55.66;;45.21;99.1;59.58;44.78;;62.1;77.67;94.69;63.38;78.46;38.76;56.99;79.03;;57.79;17.97;64.63;72.2;;36.34;53.71;25.34;40.89;57.78;83.89;43.16;;30.81;31.83;82.43;;31.18;27.68;15.17;;;26.42;18.22;107;35;116;71;43;60;72;79;51;48;30;26;61;51;41;23;63;26
NO2;uur;µg/m³;20110506 00:00;20110506 01:00;110;74.7;98.5;80.3;75.6;57.3;;95.3;77.7;75.4;73.1;;36.95;;21.79;17.55;;61.2;30.07;50.71;56.01;48.93;;48.51;61.9;42;44;55.04;55.68;86.45;;75.34;49.38;42.95;71.71;91.12;43.74;76.26;15.45;52.28;;;38.92;62.91;21.66;39.06;52.9;63.19;35.07;;23.39;;70.83;32.1;25.01;22.68;12.99;;;21.91;14.95;118;34;99;80;62;63;61;79;46;45;40;38;53;69;42;25;53;83
NO2;uur;µg/m³;20110506 01:00;20110506 02:00;105.5;82;92.6;82.8;77.6;58.1;;78.4;71.4;74;88;;52.31;10.95;17.63;13.41;28.36;55.84;27.21;44.61;48.19;52.72;50.63;67.95;36.85;39.26;40.71;56.12;56.05;85.31;93.64;65.56;49;41.24;70.39;80.78;43.1;47.61;19.81;44.81;;;34.52;57.47;20.74;45.65;48.7;57.94;33.29;;27.14;;44.47;26.44;22.99;18.46;12.71;27.52;;29.76;16.21;97;34;77;82;59;54;49;82;43;43;55;68;49;60;41;33;40;90
NO2;uur;µg/m³;20110506 02:00;20110506 03:00;105.2;85.7;81.3;82.7;80.2;66.6;;63.1;64.1;72;84;;31.1;9.26;18.04;13.98;27.23;57.16;24.72;43.67;45.99;49.15;58.87;59.35;34.54;42.23;40.81;70.22;54.68;79.43;94.17;45.54;41.47;41.56;65.86;62.85;44.66;40.92;17.01;52.67;46.86;;31.06;64.25;18.4;43.35;47.22;57.4;31.11;;24.21;22.29;34.11;22.48;23.04;15.45;13.37;32.72;;30.96;16.91;75;27;79;74;57;47;42;75;37;36;48;99;48;63;39;35;32;89
NO2;uur;µg/m³;20110506 03:00;20110506 04:00;99.3;83.6;93.7;80.6;68.9;62.2;;70.7;77.8;75.4;95.9;;52.77;8.67;25.14;20.76;27.67;48.61;21.29;33.66;45.56;44.56;62.46;54.17;34.98;42.26;39.46;71.87;59.46;75.12;97.21;47.86;43.59;45.43;67.47;71.64;51.25;41.07;15.52;53.16;44.16;;28.09;64.82;19.85;40.56;53.14;58.89;35.18;;25.08;22.35;25.92;20.33;22.77;14.57;13.19;38.04;;30.58;17.95;55;35;80;67;52;43;;;36;;46;94;50;59;56;42;26;69
NO2;uur;µg/m³;20110506 04:00;20110506 05:00;126.8;78.6;95.2;92.1;75.2;67.7;;100.3;83.8;77.3;95.9;;57.66;7.08;41.99;21.7;32.21;44.6;22.54;40.1;54.22;45.08;62.25;51.57;47.11;40.95;38.1;79.73;66.26;72.32;93.14;47.39;40.81;52.92;85.77;102.22;53.58;56.25;18.41;43.87;58.76;;26.75;59.69;18.49;40.88;61.21;63.13;44.63;;22.86;33.57;23.67;18.94;22.28;15.56;14.2;39.58;;34.95;20.7;82;51;79;60;41;53;41;82;41;39;43;87;63;71;57;64;36;57
NO2;uur;µg/m³;20110506 05:00;20110506 06:00;150.7;68.4;88.7;111.8;83.2;81.3;;97;87.3;88;95.5;;68.62;7.05;48.04;37.76;41.52;33.75;23.21;69.65;64.38;46.65;66.2;62.83;58.43;50.17;44.81;86.6;73.87;80.74;90.83;47.15;51.17;63.3;92.82;124.42;77.38;79.14;24.25;63.02;76.84;;29.59;65.8;22.64;49.75;81.05;93.89;52.47;;26.5;48.71;36.91;22.41;30.88;23.39;20.69;38.82;;62.3;22.7;106;77;118;96;65;62;53;109;57;54;60;86;87;82;84;75;36;90
NO2;uur;µg/m³;20110506 06:00;20110506 07:00;125.1;71.3;;117.9;92.8;108.2;;108.5;92.4;93.4;110.4;;63.66;19.37;63.62;48.15;39.02;35.5;24.99;80;75.67;45.07;54.35;56;50.07;75.64;43.31;94.22;74.27;88.97;88.72;41.25;55.7;61.67;94.91;108.4;79.5;85.9;28.04;75.98;82.36;;41.19;62.79;34.05;44.56;87.38;97.08;54.5;;29.04;44.73;49.96;32.51;30.29;27.81;25.03;33.95;;82.46;34.12;125;78;128;106;74;78;74;100;;59;;;77;;73;80;64;80
