Export;EXP-2023-01 (20230707 10:54);;;StationsCode;NL01485;NL01489;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10137;NL10227;NL10230;NL10235;NL10236;NL10241;NL10247;NL10301;NL10318;NL10404;NL10411;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10520;NL10537;NL10538;NL10544;NL10620;NL10631;NL10633;NL10639;NL10639;NL10641;NL10722;NL10738;NL10742;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10938;NL49003;NL49012;NL49014;NL49562;NL49564
O3;uur;µg/m³;20100101 11:00;20100101 12:00;;54.3;45.7;51.2;51.8;62.2;55.013;47.626;49.342;49.875;47.306;54.81;57.433;45.526;;;50.685;50.568;55.588;49.459;;39.749;;47.658;50.099;;63.86;57.56;41.539;63.743;58.04;61.728;50.802;50.632;48.511;;52.145;59.596;56.804;51.581;;50.387;51.762;58.744;56.185;62.336;52.423;53;;54;58;55
O3;uur;µg/m³;20100101 12:00;20100101 13:00;;58.4;52;51.9;59.8;67.1;52.668;49.235;47.733;50.142;45.952;55.812;57.518;44.226;;;53.712;47.061;57.592;52.508;;45.206;;52.497;53.894;;66.823;57.433;34.696;66.813;64.308;65.715;52.7;57.123;50.451;;56.399;61.131;55.748;51.037;;50.706;52.177;66.429;55.162;65.544;52.241;54;;55;65;63
O3;uur;µg/m³;20100101 13:00;20100101 14:00;;63.3;56.7;59.5;62;68.1;53.243;50.291;48.436;47.477;47.253;55.674;60.897;44.162;;;54.8;54.224;59.159;47.232;;52.945;;58.861;56.281;;69.499;58.381;34.163;67.591;64.095;68.689;52.902;58.2;50.611;;56.59;60.673;56.964;50.078;;50.792;53.776;76.928;54.416;65.608;53.585;53;;54;66;62
O3;uur;µg/m³;20100101 14:00;20100101 15:00;;63.2;58.3;59.8;61.9;66;52.998;50.397;46.336;47.573;48.5;55.397;62.847;43.543;;;52.796;55.194;61.142;39.333;;52.007;;60.3;57.294;;70.501;59.511;27.501;67.953;62.613;70;52.796;57.038;51.975;;55.119;59.436;57.507;46.901;;50.717;54.661;79.263;53.009;64.894;58.115;51;;57;67;62
O3;uur;µg/m³;20100101 15:00;20100101 16:00;;64.4;52.5;51.1;54.5;63.6;56.505;49.012;48.18;47.85;45.238;54.405;64.18;39.045;;;49.257;54.107;59.287;54.523;;46.954;;58.008;56.068;;69.52;59.959;20.349;67.857;55.546;67.047;53.03;54.832;43.447;;56.036;56.079;57.475;45.004;;50.493;54.235;75.681;52.188;62.975;57.422;49;;54;65;57
O3;uur;µg/m³;20100101 16:00;20100101 17:00;;58.8;38;35.2;43.3;53;56.569;47.114;51.378;52.423;39.855;52.54;56.495;32.671;;;45.249;52.284;44.95;50.301;;40.857;;55.034;49.129;;67.09;49.129;17.886;60.47;52.092;57.816;43.288;47.647;32.777;;37.063;52.156;53.638;39.429;;46.517;49.406;67.932;51.911;59.213;51.026;36;;39;49;31
O3;uur;µg/m³;20100101 17:00;20100101 18:00;;45.4;11.1;23.7;18.4;10.5;49.705;44.172;50.28;50.781;36.508;47.018;52.902;33.396;;;33.236;48.703;39.919;46.699;;25.902;;46.784;39.727;;61.057;13.655;8.495;60.076;32.98;46.613;37.372;42.669;20.37;;6.641;47.733;47.455;39.759;;39.024;48.34;61.504;40.335;58.594;52.497;18;;17;15;11
O3;uur;µg/m³;20100101 18:00;20100101 19:00;;17.7;5.9;8.3;5.8;3.2;46.997;39.631;46.613;40.505;33.705;46.784;51.517;24.751;;;27.117;45.068;40.132;29.708;;16.554;;17.311;25.892;;52.508;9.615;3.24;50.653;27.192;37.862;44.375;32.863;21.244;;1.759;43.916;35.144;27.586;;30.315;51.634;55.844;30.198;47.914;51.847;20;;8;4;7
O3;uur;µg/m³;20100101 19:00;20100101 20:00;;3.1;3.2;5.5;6.3;2.2;42.008;40.751;40.41;42.893;31.083;43.98;50.067;27.512;;;18.899;49.086;40.953;22.129;;21.063;;1.364;9.252;;43.831;2.58;4.989;30.475;20.317;29.228;43.639;1.055;18.771;;1.087;40.015;27.704;19.922;;30.923;47.594;44.823;35.613;42.552;49.747;15;;9;3;8
O3;uur;µg/m³;20100101 20:00;20100101 21:00;;2.5;2.4;3.8;5.1;3.4;35.73;31.616;40.324;41.39;23.525;32.937;39.525;23.355;;;20.86;38.267;43.991;13.591;;22.971;;1.183;5.148;;49.587;0.085;4.402;29.494;28.631;11.459;42.286;0.714;9.231;;6.257;37.009;20.967;24.666;;24.687;44.737;39.706;30.987;46.294;51.239;3;;5;3;5
O3;uur;µg/m³;20100101 21:00;20100101 22:00;;1.9;2.4;3.7;4.8;2.9;34.877;27.49;33.108;34.174;21.99;17.748;35.037;11.928;;;17.311;27.544;40.474;17.492;;19.922;;1.546;7.099;;37.286;0.16;4.456;26.009;13.463;4.839;44.3;0.458;3.55;;1.503;35.666;11.704;21.351;;18.153;38.928;34.526;33.684;54.352;47.402;0;;1;3;15
O3;uur;µg/m³;20100101 22:00;20100101 23:00;;1.5;2;2.9;15;1.8;30.368;27.16;25.55;23.024;17.471;15.126;19.656;2.036;;;20.445;21.212;26.105;14.209;;25.348;;1.002;6.79;;30.965;1.077;3.134;21.788;1.162;1.077;30.507;0.405;1.567;;-0.394;30.177;7.291;19.368;;13.921;30.592;38.011;36.156;58.712;60.289;0;;0;3;5
O3;uur;µg/m³;20100101 23:00;20100102 00:00;;;1.6;3.1;30;8.7;26.414;23.589;20.69;22.385;14.134;9.583;4.21;1.119;;;31.061;25.412;8.016;5.085;;23.685;;0.917;1.887;;14.166;0.384;7.067;22.736;0.746;0.65;20.242;0.746;1.3;;-1.684;32.884;6.534;17.46;;12.152;22.107;53.403;59.959;59.245;58.594;0;;1;3;3
O3;uur;µg/m³;20100102 00:00;20100102 01:00;;1.7;1;3.6;9.7;13.1;22.481;;18.27;23.429;8.25;1.727;;2.963;;;40.975;17.833;8.037;4.605;;-4.381;1.332;4.637;2.121;;;0.661;8.57;18.569;3.23;;19.07;2.292;;;;29.462;6.513;15.936;;2.526;4.754;42.232;56.505;;58.04;2;;1;3;3
O3;uur;µg/m³;20100102 01:00;20100102 02:00;;;1;4;9.3;36;19.741;11.267;17.481;20.999;6.3;2.473;3.049;3.965;;;29.366;22.896;3.336;3.709;;-3.773;7.206;22.193;2.548;;13.527;0.917;9.37;25.86;3.038;1.322;27.363;1.45;1.993;;0.416;28.386;5.532;2.782;;8.112;9.519;45.558;45.633;35.218;59.309;2;;1;5;6
O3;uur;µg/m³;20100102 02:00;20100102 03:00;;6.9;14.3;7.7;12.1;29.7;18.195;9.604;14.848;23.749;-0.043;5.319;2.089;6.321;;;44.524;26.52;9.508;12.312;;8.112;15.989;50.76;5.138;;28.642;9.465;27.277;39.322;3.091;1.535;22.864;0.885;2.889;;0.544;24.698;6.587;1.045;;8.773;2.441;58.104;55.994;22.363;57.934;1;;2;27;18
O3;uur;µg/m³;20100102 03:00;20100102 04:00;;7.9;5.3;7.5;28.8;41.1;18.164;12.418;9.903;16.842;-3.528;5.98;4.722;6.843;;;46.485;24.325;7.845;9.082;;4.615;33.129;45.974;18.302;;20.69;13.719;30.198;24.836;5.17;8.005;15.115;3.805;3.699;;1.236;23.131;8.058;1.013;;9.156;-0.544;69.648;58.019;23.632;52.391;9;;12;10;17
O3;uur;µg/m³;20100102 04:00;20100102 05:00;;6.8;21.8;14.3;35.4;59.8;11.011;5.937;11.501;20.327;-3.976;5.383;10.862;3.496;;;45.281;28.173;22.672;20.914;;12.685;34.771;57.326;19.752;;24.442;11.832;25.678;11.811;8.368;7.462;17.972;10.681;2.047;;3.635;22.555;11.768;1.727;;10.574;5.085;73.869;52.753;22.758;44.172;8;;13;20;14
O3;uur;µg/m³;20100102 05:00;20100102 06:00;;35.8;41.3;45.8;64.2;48.9;10.286;2.58;17.183;21.532;-2.537;7.344;10.862;1.343;;;50.429;36.082;25.145;24.271;;32.319;45.729;64.084;45.611;;14.113;13.068;22.086;21.638;4.125;11.587;12.972;20.647;1.567;;3.081;23.312;10.308;3.741;;11.48;14.156;69.829;45.132;35.751;39.173;3;;15;12;17
O3;uur;µg/m³;20100102 06:00;20100102 07:00;;27.1;40.4;39.8;61.4;42.9;10.787;0.48;14.763;25.423;-3.709;3.763;3.891;1.674;;;43.938;28.908;27.32;27.352;;48.234;51.602;62.517;52.508;;9.082;2.143;10.691;20.85;5.703;14.561;15.467;23.568;1.364;;2.846;19.251;8.602;10.979;;23.621;25.881;56.985;36.54;36.732;45.025;0;;2;9;13
O3;uur;µg/m³;20100102 07:00;20100102 08:00;;31.7;37.5;40;55.5;48.3;14.006;1.322;18.803;30.507;-2.366;0.501;0.608;1.46;;;50.152;;25.828;23.994;;38.118;39.035;56.175;43.906;;23.557;5.148;17.918;8.634;14.017;27.672;13.399;24.74;3.251;;9.945;16.98;5.34;11;;31.669;4.882;52.71;35.261;37.841;44.322;4;;5;2;9
O3;uur;µg/m³;20100102 08:00;20100102 09:00;;23.9;27.2;30.6;38.3;23.8;6.961;1.322;23.472;30.038;-0.586;0.661;4.488;1.961;;;29.59;;22.704;18.259;;26.105;27.053;16.362;28.183;;28.514;11.949;15.158;4.306;19.091;45.878;13.09;30.39;4.839;;7.323;18.835;8.954;8.602;;33.374;15.349;32.809;30.496;37.745;41.262;17;;19;12;14
